id,uid,apex_time,apex_time_str,apex_distance,dataset,source_file,label,label_name,saved_timestamp,username,x_min_m,x_max_m,t_start_s,t_end_s
1,fc5d7381-9942-4a8a-8043-ca18289245d4,1635889951.56,2021-11-02 21:52:31.560,25328.0,ooi_optasense_north_c2_full,20211102_215231.h5,1,Bp_B,2025-12-18 00:33:48.201,ers334,25336.0,45128.0,0.034140214853972006,12.561621922787264
2,fc5d7381-9942-4a8a-8043-ca18289245d4,1635889951.56,2021-11-02 21:52:31.560,8336.0,ooi_optasense_north_c2_full,20211102_215231.h5,1,Bp_B,2025-12-18 00:37:10.894,ers334,616.0,40680.0,0.023471791659971104,15.90029060407885
3,fc5d7381-9942-4a8a-8043-ca18289245d4,1635889960.1499999,2021-11-02 21:52:40.150,11640.0,ooi_optasense_north_c2_full,20211102_215231.h5,2,Bp_A,2025-12-18 00:52:05.672,ers334,11584.0,33104.0,0.05872746921971661,14.041266845927478
4,fc5d7381-9942-4a8a-8043-ca18289245d4,1635889970.48,2021-11-02 21:52:50.480,36368.0,ooi_optasense_north_c2_full,20211102_215231.h5,2,Bp_A,2025-12-18 00:54:10.923,ers334,36368.0,45096.0,-0.039004253575953385,4.670489925050976
6,f5156ff7-e81b-4c91-8641-da568e6c99c2,1635889978.28,2021-11-02 21:52:58.280,37544.0,ooi_optasense_north_c2_full,20211102_215231.h5,1,Bp_B,2025-12-18 01:17:12.666,ers334,37576.0,45480.0,0.021775042939381706,4.5762220316882924
7,f5156ff7-e81b-4c91-8641-da568e6c99c2,1635889967.3799999,2021-11-02 21:52:47.380,14088.0,ooi_optasense_north_c2_full,20211102_215231.h5,1,Bp_B,2025-12-18 01:20:11.484,ers334,688.0,45272.0,0.46456262329045117,17.71339157408859
8,f5156ff7-e81b-4c91-8641-da568e6c99c2,1635889951.825,2021-11-02 21:52:31.825,39632.0,ooi_optasense_north_c2_full,20211102_215231.h5,1,Bp_B,2025-12-18 01:21:32.769,ers334,39728.0,45424.0,0.07801003261663508,3.5259520189193903
9,684ec297-d421-4672-868b-ba31f7aab31a,1635889973.135,2021-11-02 21:52:53.135,12480.0,ooi_optasense_north_c2_full,20211102_215231.h5,1,Bp_B,2025-12-18 13:13:43.767,ers334,12408.0,38728.0,-0.0026114391679037396,13.897818376462684
10,ba2fbe72-7b0a-433e-a0b5-31a9f6832606,1635889976.865,2021-11-02 21:52:56.865,14408.0,ooi_optasense_north_c2_full,20211102_215231.h5,2,Bp_A,2025-12-18 14:30:15.824,ers334,14536.0,45120.0,0.014610183548178668,19.762090304802946
12,ba2fbe72-7b0a-433e-a0b5-31a9f6832606,1635889991.98,2021-11-02 21:53:11.980,36264.0,ooi_optasense_north_c2_full,20211102_215301.h5,1,Bp_B,2025-12-18 14:31:52.498,ers334,36472.0,45016.0,0.0009802653576898024,4.635641368397586
